Mapserver Export Map 1,200,OK,bin,9334,85
Mapserver Export Map 1,200,OK,bin,4325,48
Featureserver Query 1,200,OK,text,855237,204
Featureserver Query 1,200,OK,text,852859,306
Featureserver Query 1,200,OK,text,20603,13
Featureserver Query 1,200,OK,text,855551,339
Get Map Service Info,200,OK,text,1747,39
Get Legend,200,OK,text,903,14
Mapserver Export Map 1,200,OK,bin,2940,59
Mapserver Export Map 1,200,OK,bin,6586,76
Mapserver Export Map 1,200,OK,bin,16441,142
Mapserver Export Map 1,200,OK,bin,3400,53
Featureserver Query 1,200,OK,text,626,4
Featureserver Query 1,200,OK,text,46420,21
Featureserver Query 1,200,OK,text,851466,327
Featureserver Query 1,200,OK,text,852330,351
Get Map Service Info,200,OK,text,1747,35
Get Legend,200,OK,text,903,11
Mapserver Export Map 1,200,OK,bin,2809,44
Mapserver Export Map 1,200,OK,bin,6712,59
Mapserver Export Map 1,200,OK,bin,6343,69
Mapserver Export Map 1,200,OK,bin,6699,65
Featureserver Query 1,200,OK,text,797013,221
Featureserver Query 1,200,OK,text,209509,60
Featureserver Query 1,200,OK,text,850276,271
Featureserver Query 1,200,OK,text,853425,305
Get Map Service Info,200,OK,text,1747,36
Get Legend,200,OK,text,903,12
Mapserver Export Map 1,200,OK,bin,6563,64
Mapserver Export Map 1,200,OK,bin,16339,127
Mapserver Export Map 1,200,OK,bin,5152,48
Mapserver Export Map 1,200,OK,bin,10306,134
Featureserver Query 1,200,OK,text,626,5
Featureserver Query 1,200,OK,text,854671,329
Featureserver Query 1,200,OK,text,210621,67
Featureserver Query 1,200,OK,text,533556,150
Get Map Service Info,200,OK,text,1747,36
Get Legend,200,OK,text,903,9
Mapserver Export Map 1,200,OK,bin,1026,26
Mapserver Export Map 1,200,OK,bin,4095,34
Mapserver Export Map 1,200,OK,bin,3194,29
Mapserver Export Map 1,200,OK,bin,3318,33
Featureserver Query 1,200,OK,text,850732,199
Featureserver Query 1,200,OK,text,851302,252
Featureserver Query 1,200,OK,text,27457,13
Featureserver Query 1,200,OK,text,237117,76
Get Map Service Info,200,OK,text,1747,33
Get Legend,200,OK,text,903,10
Mapserver Export Map 1,200,OK,bin,2061,36
Mapserver Export Map 1,200,OK,bin,1300,26
Mapserver Export Map 1,200,OK,bin,2072,33
Mapserver Export Map 1,200,OK,bin,7707,55
Featureserver Query 1,200,OK,text,852415,272
Featureserver Query 1,200,OK,text,849636,338
Featureserver Query 1,200,OK,text,849824,337
Featureserver Query 1,200,OK,text,850651,404
Get Map Service Info,200,OK,text,1747,45
Get Legend,200,OK,text,903,14
Mapserver Export Map 1,200,OK,bin,4533,75
Mapserver Export Map 1,200,OK,bin,1984,42
Mapserver Export Map 1,200,OK,bin,2669,37
Mapserver Export Map 1,200,OK,bin,1297,36
Featureserver Query 1,200,OK,text,564524,153
Featureserver Query 1,200,OK,text,852800,283
Featureserver Query 1,200,OK,text,849655,345
Featureserver Query 1,200,OK,text,628850,134
Get Map Service Info,200,OK,text,1747,27
Get Legend,200,OK,text,903,8
Mapserver Export Map 1,200,OK,bin,7178,54
Mapserver Export Map 1,200,OK,bin,1509,34
Mapserver Export Map 1,200,OK,bin,4196,40
Mapserver Export Map 1,200,OK,bin,2658,33
Featureserver Query 1,200,OK,text,115217,32
Featureserver Query 1,200,OK,text,106770,46
Featureserver Query 1,200,OK,text,849915,334
Featureserver Query 1,200,OK,text,847029,233
Get Map Service Info,200,OK,text,1747,33
Get Legend,200,OK,text,903,11
Mapserver Export Map 1,200,OK,bin,6824,76
Mapserver Export Map 1,200,OK,bin,6694,52
Mapserver Export Map 1,200,OK,bin,1154,24
Mapserver Export Map 1,200,OK,bin,2170,41
Featureserver Query 1,200,OK,text,858349,281
Featureserver Query 1,200,OK,text,855266,311
Featureserver Query 1,200,OK,text,851936,231
Featureserver Query 1,200,OK,text,830090,243
Get Map Service Info,200,OK,text,1747,37
Get Legend,200,OK,text,903,12
Mapserver Export Map 1,200,OK,bin,3694,44
Mapserver Export Map 1,200,OK,bin,4640,39
Mapserver Export Map 1,200,OK,bin,7806,84
Mapserver Export Map 1,200,OK,bin,2998,36
Featureserver Query 1,200,OK,text,850598,353
Featureserver Query 1,200,OK,text,851087,294
Featureserver Query 1,200,OK,text,377629,127
Featureserver Query 1,200,OK,text,856849,340
Get Map Service Info,200,OK,text,1747,45
Get Legend,200,OK,text,903,16
Mapserver Export Map 1,200,OK,bin,9780,128
Mapserver Export Map 1,200,OK,bin,1584,31
Mapserver Export Map 1,200,OK,bin,3743,44
Mapserver Export Map 1,200,OK,bin,3641,34
Featureserver Query 1,200,OK,text,626,3
Featureserver Query 1,200,OK,text,853178,197
Featureserver Query 1,200,OK,text,850299,294
Featureserver Query 1,200,OK,text,114497,30
Get Map Service Info,200,OK,text,1747,23
Get Legend,200,OK,text,903,8
Mapserver Export Map 1,200,OK,bin,5190,43
Mapserver Export Map 1,200,OK,bin,1026,26
Mapserver Export Map 1,200,OK,bin,5359,42
