Mapserver Export Map 1,200,OK,bin,9356,58
Mapserver Export Map 1,200,OK,bin,3769,34
Mapserver Export Map 1,200,OK,bin,9188,42
Mapserver Export Map 1,200,OK,bin,5856,35
Featureserver Query 1,200,OK,text,4289,14
Featureserver Query 1,200,OK,text,106869,40
Featureserver Query 1,200,OK,text,2126,16
Featureserver Query 1,200,OK,text,16256,20
Get Map Service Info,200,OK,text,1794,2
Get Legend,200,OK,text,1687,2
Mapserver Export Map 1,200,OK,bin,8302,34
Mapserver Export Map 1,200,OK,bin,1532,22
Mapserver Export Map 1,200,OK,bin,4479,21
Mapserver Export Map 1,200,OK,bin,1661,21
Featureserver Query 1,200,OK,text,2422,9
Featureserver Query 1,200,OK,text,40293,20
Featureserver Query 1,200,OK,text,10279,15
Featureserver Query 1,200,OK,text,9813,20
Get Map Service Info,200,OK,text,1794,2
Get Legend,200,OK,text,1687,2
Mapserver Export Map 1,200,OK,bin,1875,25
Mapserver Export Map 1,200,OK,bin,9652,47
Mapserver Export Map 1,200,OK,bin,2936,19
Mapserver Export Map 1,200,OK,bin,6040,21
Featureserver Query 1,200,OK,text,7353,12
Featureserver Query 1,200,OK,text,1857,8
Featureserver Query 1,200,OK,text,522,7
